Seq,Task Name,Description,Track,Week Band,Depends On (Seq),Backend Prerequisite,Priority,Time Estimate (h),Tags
1,Turborepo scaffold & shared UI package,"Monorepo wiring for web portals: Next.js apps + shared component/types packages. Definition of done: all portal shells build in CI.",Shared,Wk 1–2,,,urgent,8,"setup"
2,Web design tokens & component library v1,"Design tokens + core components for all three portals (tables, forms, status chips, cards, nav). English-only portals. Single library — ESM/Contractor/Admin share it.",Shared,Wk 1–2,1,,urgent,16,"setup,components"
3,Portal auth flows,"Email+password login, mandatory MFA for Admin/Super-Admin, session handling, forced-logout support, route protection per role.",Shared,Wk 1–2,1,Auth API + RBAC endpoints,urgent,12,"auth"
4,Expo app scaffold,"React Native (Expo) scaffold, navigation, env config, Android-first build pipeline. Definition of done: dev build installs on an Android 8 / 2GB device.",Mobile,Wk 1–2,,,urgent,8,"setup,mobile"
5,Mobile design system — low-literacy first,"Icon-led components, large touch targets, minimal-typing patterns, error states that speak. This is the accessibility core of the product — not a polish item.",Mobile,Wk 1–2,4,,urgent,16,"setup,mobile,a11y"
6,OTP login,"Phone OTP flow with retry/cooldown states, brute-force lockout messaging, session persistence. No passwords for candidates.",Mobile,Wk 3–5,5,OTP/auth API,urgent,8,"mobile,auth"
7,Language selector & pack loader,"Language choice (Kannada/Hindi/English) at first launch + in settings; loads DB-stored language packs; every string keyed, no hardcoded copy.",Mobile,Wk 3–5,5,Language-pack API,urgent,10,"mobile,i18n"
8,Voice-prompt player component,"Speaker icon on every screen; plays 5–10s pre-recorded prompt in chosen language; audio cached on device after first play; graceful state when asset missing (script locks wk 9).",Mobile,Wk 3–5,7,Voice asset storage/CDN,high,10,"mobile,i18n,a11y"
9,Voice-first onboarding flow,"Guided first-run: language → OTP → minimal profile, voice prompt per step. Target: a semi-literate candidate completes signup in ~10 minutes with ESM help or alone.",Mobile,Wk 3–5,"6,7,8",Candidate create API,urgent,14,"mobile,onboarding"
10,Résumé capture — camera flow,"Photograph certificates/ID/handwritten résumés: multi-page capture, framing guides, blur/quality hints, review-and-retake. Dominant input type — this flow carries the product.",Mobile,Wk 3–5,9,Upload API (signed URLs),urgent,14,"mobile,intake"
11,Résumé capture — file upload,"PDF/DOCX picker path for digitally fluent candidates; progress + failure states.",Mobile,Wk 3–5,10,Upload API,normal,5,"mobile,intake"
12,Guided profile form,"Structured form entry (self or ESM-assisted): qualification, experience, languages, relocation willingness. Highest-quality parser input; form values take precedence over parsed.",Mobile,Wk 3–5,9,Candidate profile API,high,10,"mobile,intake"
13,Candidate score screen,"The CIBIL-like score/badge with explainable breakdown (which dimensions contributed). Renders engine output only — no client-side computation.",Mobile,Wk 6–8,9,Scoring engine output API,urgent,10,"mobile,score"
14,Matched openings (light),"Territory-matched openings list with role/location/salary band. Employer identity never present in payload or UI.",Mobile,Wk 6–8,13,Matching API,high,8,"mobile,matching"
15,Application status tracker,"Per-application timeline: matched → presented → accepted → joined, with plain-language + voice explanation of each state.",Mobile,Wk 6–8,14,Application state API,high,8,"mobile,status"
16,Nearest-centre finder,"Locate nearest fulfilment centre/ESM by district; call/directions actions.",Mobile,Wk 6–8,9,Territory/centre API,normal,6,"mobile"
